sentiment,text,user
"neutral","@Param_98 @CricCrazyJohns NZ Players participating in IPL won't be playing that series.","messy_stuffz"
"negative","RT @ndtv: #COVID19 | “A match in Delhi at this point in time is terribly inappropriate and insensitive”: Sharda Ugra, Senior sports journal…","Nidhi"
"neutral","RT @Rokeyradhecoll1: 😶\n\n#SRH #SRHvDC #pbks #kxip #PunjabKings #PreityZinta #kavyamaran #cameraman #meme #IPL2021 #IPL #celebrity https://t.…","DivinityMemes"
"positive","@cricvizanalyst @JimmyNeesh @imjadeja @IPL Why pakistan players not in listed!??? Hahaha","farhanabhi4"
"neutral","RT @DrSanjeevRajp4: जिस देश मे दवाइयों और ऑक्सीजन की बजाय #IPL कराना प्राथमिकता हो वहाँ जिम्मेदार लोग सिर्फ सिस्टम को फेल बताकर अपनी जिम्मे…","r_rajumar"
"negative","@Bhayankur Perfidy of a nation; Where people are miserably dying for want of oxygen but makers are keen on IPL, whi… https://t.co/x5OwFB0Px2","k_bazaz"
"neutral","@IndianRobertson @sanket Nobody who is running from hospital to hospital in search for beds oxygen or as basic as f… https://t.co/SYTvllHDIF","namanmall1"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","yasarmohd02"
"positive","@Suryateja_23 Akkada IPL ani clearly mentioned...\nGayle 2017 nundi almost out of touch annattu(ippudu evo numbers p… https://t.co/SxfJX0qonM","MI_Fallout_"
"positive","RT @Poorvika_Mobile: Which IPL team are you supporting this year? and why is it @chennaiipl?  \n\n#Poorvika #PoorvikaMobiles #IPL #ChennaiLov…","PVijaiganth"
"positive","@RCBTweets My name is Khaled and I love this team from my heart rather than other teams in ipl. My \"childhood favor… https://t.co/P7GRZxR4Sr","KhalidAkAzad2"
"positive","RT @rohition45_MIFC: Its Not Up To The Mark, Hope They Will Make Good Comeback In Delhi👊\n\n| @ImRo45 | @mipaltan |\n\n#mumbaiindians #IPL2021…","arabianstrong1"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","Akhiles53283086"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","chaturvedisonia"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","shetty_shridevi"
"neutral","@Ram_Guha I wish to know if IPL were cancelled would these problems be resolved?  I know that some things are moral… https://t.co/jH1FEdDOsg","muktaketan"
"neutral","Till  3rd week of IPL 2021 \nMy All Star Playing XII :\n1. S.Dhawan,Faf du Plessis,Jonny Bairstow\nRohit Sharma (C),Sa… https://t.co/JKipS3T5n2","brajendramshr"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","iamsaaj"
"positive","RT @KKRiders: #OTD in 2019, @Russell12A was at his ballistic best at Eden Gardens 💥\n\nHe scored an unbeaten 80 off 40 on the way to victory…","SRKian_Shamail7"
"positive","RT @Kohli_Spy: Greatest Overseas Player Of All Time (IPL) ??","GajalafromWTDC"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","Durgesh_BO"
"neutral","@IamYasirRasool ایک طرف لاشیں پہ لاشیں \nدوسری طرف آی پی ایلipl  \nچھکے پہ چکھا","Mohamma87846911"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","AmeeraRao"
"positive","RT @celektindia: Congratulations to our Celekt &amp; Win IPL Contest Round 18 winners! You all are true fans of cricket.\nThe contest is not ove…","rachit_g2"
"negative","Travelling back home is a small issue compared to situation outside IPL bubble: Ricky Ponting https://t.co/rIVjMJE3nB","news89com"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","samnorth44"
"neutral","RT @_MS_Ali_Rana: \" क्रिकेट का भगवान भारत मे है लेकिन मदद विदेशी खिलाड़ी कर रहे और भारत के लोगो की सलामती के लिए दुआ कर रहे है \"...\n\nhttps:…","shahzadashahi1"
"negative","RT @Cricketracker: Players with 5000+ runs in IPL with 40+ average and 150+ strike rate\n\nAB de Villiers\nEnd of the list.\n\n#DCvRCB #DC #RCB…","rahul_satpati"
"neutral","RT @awwwkash: IPL rn https://t.co/5eSIoajG7i","vaishnavitalks"
"neutral","RT @AgrahriBjp: दो आस्ट्रेलियाई खिलाड़ी ने केवल दान ही नहीं दिया बल्कि IPL में करोड़ों में बिके भारतीय खिलाड़ियों को चुल्लू भर पानी में डूब…","JanakYa32908215"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","iamsaaj"
"positive","RT @JonasTweetzss: Vk kadhu, Dhoni kadhu, Raina kadhu\nThe real mr. IPL is @ABdeVilliers17 https://t.co/ZaoN17LmrG","Akhilfollowerv7"
"positive","RT @ThreeFineLegs: 🚨NEW PODCAST🚨🇮🇳🏏😷\n\nShould the #IPL continue, amid the #COVID19 crisis in #India?\n\n@NikeshRughani &amp; @AnkurDesai_ welcome…","NikeshRughani"
"positive","@JimmyNeesh @imjadeja @IPL Here is the stat jimmy ! By the way good luck for remaining 32 days https://t.co/5q7hJJj9a9","CricCrazyAdi"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","A5Ganesh"
"neutral","RT @AgrahriBjp: दो आस्ट्रेलियाई खिलाड़ी ने केवल दान ही नहीं दिया बल्कि IPL में करोड़ों में बिके भारतीय खिलाड़ियों को चुल्लू भर पानी में डूब…","JagdishPurohi10"
"neutral","RT @PuspendraTweet: IPL के नामपर करोड़ो कमाने वालो\n\nऑस्ट्रेलियाई खिलाड़ी पैट कमिन्स ने पीएम केयर्स फंड में 37 लाख रुपए का डोनेशन देते समय…","Re_tweeterrrr"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","AkramKh76942879"
"neutral","\"My thoughts go out to everyone over here. I understand how dire the situation is. It's bigger than cricket,\" Adam… https://t.co/DEVEKLzWGV","HWNewsEnglish"
"neutral","RT @ESPNcricinfo: Is AB de Villiers the biggest match-winner in the IPL? #IPL2021 https://t.co/yM0qwhOnTT","vibhavsethi2"
"positive","RT @DhoniGifs: On this day in 2008 , @msdhoni scored his maiden IPL 50 😎 and helped CSK to a match winning 178.. 🥁\n#MSDhoni • #WhistlePodu…","sunny_Nithin_AA"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","ZSiddiki"
"positive","@ag_rishabh_ No tension, no drama, no feels. Fixed hai. IPL jese.","kelsostan"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","piyushunt"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","bharadwajsiddh2"
"neutral","RT @JimmyNeesh: I’ve actually never seen this stat before. They should do it for all tournaments. Would guess that @imjadeja would be ahead…","Ansh_MSDian"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","kaushle34107318"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","Kannu57241264"
"neutral","RT @hamikhan01: ऑस्ट्रेलियाई क्रिकेटर एंड्रयू टॉय ने IPL छोडा़ और लिखा  लोग मर रहे हैं..\nऔर सरकार चुनाव और IPL में व्यस्त हैं...\nडूब मरो चू…","MOHAMMA66385632"
"neutral","RT @Kush_voice: खुद को क्रिकेट का भगवान कहलाने वाले सचिन तेंदुलकर तुम तो इंसान कहलाने के भी लायक नही हो।\n\n#आदमखोर_IPL","ShahedS12895406"
"neutral","@sanket Nobody who is running from hospital to hospital in search for beds oxygen or as basic as food and job.... N… https://t.co/RRieyyhRrx","namanmall1"
"neutral","RT @FoxCricket: Australia star Pat Cummins has donated $50,000 to India's fight against COVID-19. 🙌\n\nCLASS ACT: https://t.co/4yFozhnpMC htt…","iamjaishah"
"positive","RT @IPL: We request all of you to play your part. Let's beat the virus. #VIVOIPL\n\nGet vaccinated 💉\nStay home🏡\nMaintain social distance 🤜🏽🤛🏽…","krishna_nainala"
"negative","Virat is too unlucky in ipl. That inside edge bowled in 2016 final is too unfortunate if that wouldn't have happene… https://t.co/LmQXy7ReyV","vamos__virat"
"positive","RT @ComeonPant: Mention your 3 most loved foreign IPL Players.!\nHere's mine.!\n-Ab de Villers \n-Kane Williamson \n-Lasith Malinag.!","rohit000044"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","ANKITKHAITAN3"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","mkaurravneet"
"positive","RT @Cricketracker: Who is the greatest IPL batsman?🤔\n\n🟠 David Warner\n🔴 AB de Villiers\n🟡 Suresh Raina\n🔵 Virat Kohli\n🟢 Chris Gayle\n\n#DCvRCB #…","Dileep542115552"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","khanamirmaroof"
"neutral","RT @ashoswai: Delhi is devastated by Covid, and thousands are dying. Delhi is hosting today's IPL cricket match. What a country! What it's…","SaeedAh59460955"
"neutral","RT @ShivaniV2901: ऑस्ट्रेलियाई खिलाड़ी एंड्रू टॉय ने भारत में मौत के तांडव के बीच IPL के तमाशे का बहिष्कार कर अपने घर वापस लौट गए।\n\nलेकिन…","WasimINCMP"
"positive","RT @Oliver_Speaking: One day Fikile Mbalula will have to tell us why the Guptas made him the Minister of Sport right after they brought the…","Thabelo_Ngwenya"
"neutral","@ajey_dhoni @juhimalviya2 @IPL @imjadeja @ChennaiIPL 🙄Rasa Delhi la sun enga pa 😂😂\n\nIngaye onnum kanom","kud_117"
"neutral","RT @vinita4india: विदेशी खिलाड़ी भारत के कोरोना स्थिति को देखकर चिंतित हैं लेकिन भारतीय खिलाड़ी IPL  खेलने में व्यस्त है और यहां तक कि कोई…","NewsDarshanAgen"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","eco_abhi"
"neutral","RT @sanket: IPL matches in Delhi. There would be doctors, medical facilities and police on duty, diverted for these events. @BCCI must ask…","piyushunt"
"neutral","@lumidad @MandyWiener What have I saud that wasn't factual? ACA lobbied to cancel the tour. Aussie players joined t… https://t.co/Dhtz2FkwEE","Arfness"
"negative","RT @divya_16_: India is a poor country. A very poor one at that. Thanks to Netflix, fancy malls, Bollywood and IPL you managed to brush it…","sadhavi"
"neutral","RT @SushantSin: Some day it will be written that IPL was being played in Delhi, with extensive dedicated ambulance, testing and healthcare…","bella_ciaoo_"
"neutral","RT @sanket: If ITBP can set up a makeshift COVID facility, if Ramlila Maidan can be converted into a COVID facility, why can’t our cricket…","ZSiddiki"
"neutral","RT @puneetsinghlive: भारत में बढ़ते कोरोना मामलों के बीच पूर्व पाकिस्तानी तेज़ गेंदबाज़ शोएब अख्तर ने कहा है कि आईपीएल 2021 को स्थगित करने…","Phoenix90431771"
"positive","RT @cricbuzz: Post-IPL, more T20 cricket coming up in India as @BCCI greenlights state associations, writes @vijaymirror \n\nhttps://t.co/ytW…","lords_varun"
"positive","RT @Cricketracker: Who is the greatest IPL batsman?🤔\n\n🟠 David Warner\n🔴 AB de Villiers\n🟡 Suresh Raina\n🔵 Virat Kohli\n🟢 Chris Gayle\n\n#DCvRCB #…","rohit000044"
"neutral","@sanket @AMISHDEVGAN IPL ke peeche pade ho sabke sab bas. Abey akal lagalo, log depression mein chale jaenge agar I… https://t.co/fBAoqwLAOI","rw_indian"
"neutral","RT @JimmyNeesh: I’ve actually never seen this stat before. They should do it for all tournaments. Would guess that @imjadeja would be ahead…","hariharan_draj"
