sentiment,text,user
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","mijomojo1"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","AnuThom0111"
"positive","RT @TimesNow: Arvind Kejriwal is the biggest non-performing asset in Indian politics. He decided to impress upon judges through these cheap…","ushavohra7"
"neutral","Ab to Indian politics me neta kam, \nPR/marketing gurus jyada hai. https://t.co/MUTx9Iu9yi","Shubham31286214"
"negative","Djibouti 🇩🇯 - China adiciona cais de transporte à base de Djibouti, ampliando o alcance do Oceano Índico https://t.co/0GwtSn6iy3\n\nG.L.","OCAfricano"
"positive","The truth of dirty politics of Bhagwa brigade in India \nSpeak by brave Indian Lady \nJay Hind 🇮🇳 @BBCHindi https://t.co/l1mgUrJ6Ow","last__patriot"
"neutral","RT @lucci_bill: \"A bimbo looking for a ballplayer.\" \n- Patch\nhttps://t.co/dVRj6WAV8P","Suldo3311"
"negative","The ruthless politics of the Centre’s vaccine strategy | The Indian Express https://t.co/Mm45h9LEcw","DR15Feb"
"positive","RT @_sachin_agarwal: @RatanSharda55 Yes Sir saw this video and was disturbed .....\nCan't they warn the banquet before taking this action ..…","sudeepj21"
"negative","RT @Doranimated: China has completed a pier for an aircraft carrier at its naval base in the Djibouti, 20 miles from Yemen, on the Bab-el-M…","lalauraru777"
"negative","@ARanganathan72 Sadji belives in one word and that is \"Free\"... He knows nothing else.  He is worst thing happened to Indian politics","mannu_21"
"neutral","முதுகெலும்பு இல்லாதவர்களே எங்கே உங்கள் மனச்சாட்சி?  இந்திய சினிமா- விளையாட்டு பிரபலங்களை விளாசித் தள்ளிய தேஜஸ்வி யா… https://t.co/z8LFba279c","ChinniahKasi"
"neutral","The weirdest trend in Indian politics was the suicide of a Bollywood actor (Sushant Singh) once attacked by Hindutv… https://t.co/YbLZJgfKkL","akhivae"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","KingDav44411423"
"neutral","\"A bimbo looking for a ballplayer.\" \n- Patch\nhttps://t.co/dVRj6WAV8P","lucci_bill"
"neutral","RT @Mahesh10816: Now the next big thing in Indian politics is UP Elections 22, now you will see the cartel going after Yogi Ji \n\nYou will g…","CobraIridium"
"neutral","@yunhospov Well our skl is based on Indian syllabus so we learned bout India's history n politics (even tho I m not… https://t.co/57yNLTJzb8","Binnieheaven"
"neutral","RT @rupadash: How do Indian Americans feel about current Biden administration role in #COVID19  crisis in  India? This is shame even during…","Mahmkhan"
"neutral","RT @Mahesh10816: Now the next big thing in Indian politics is UP Elections 22, now you will see the cartel going after Yogi Ji \n\nYou will g…","simplesum1"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","jish23690"
"positive","@SanjivndSharma @RameshK64829972 @jagmeet8511 @KirronKherBJP @MoHFW_INDIA @BJP4India true...CM of Delhi, a product… https://t.co/QyU5HEvRLA","coffeetime112"
"neutral","RT @Mahesh10816: Now the next big thing in Indian politics is UP Elections 22, now you will see the cartel going after Yogi Ji \n\nYou will g…","wataboutery"
"positive","@Dravidian712 @chad_erudite @Don2k2077 @MoMuslim99 @quranandbibleb1 @Farid_0v @halalhomer_ @MansurXAhmed @DawahWise… https://t.co/a1GEVT6IW2","thehomiehomit"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","XMqeIvTvvHz5rIp"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","justiceouthere"
"positive","@30de2e4d6c4f416 @NarangVipin I think it’s true that the US population and political class other than South Asia fo… https://t.co/1OcbNmnh2B","GeorgeWHerbert"
"positive","DAY:88 #கேள்வியுறு \n\nPunjab in its present form came into existence on November 1, 1966, when most of its predomina… https://t.co/dPeBnb86hn","LakshmeManoch"
"negative","RT @CelinePajon: China extends Indian Ocean reach with Djibouti carrier base. New pier added to naval support facility built for anti-pirac…","Henry23337544"
"negative","RT @Outlookindia: REPLUG│Remdesivir crunch is due to bad science, bad politics: Ex-president, Indian Medical Association. \n@IndianMedAssn│B…","zafar_1qbal"
"negative","RT @Outlookindia: REPLUG│Remdesivir crunch is due to bad science, bad politics: Ex-president, Indian Medical Association. \n@IndianMedAssn│B…","resource_botIN"
"neutral","@GautamGambhir @GautamGambhir Sir india is in pain its the time whrn we must leave politics and join hands to overc… https://t.co/PtOTZGUnDm","pavan3108"
"negative","REPLUG│Remdesivir crunch is due to bad science, bad politics: Ex-president, Indian Medical Association.… https://t.co/B1Nn0QNXv2","Outlookindia"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","SWALiH09"
"negative","RT @Doranimated: China has completed a pier for an aircraft carrier at its naval base in the Djibouti, 20 miles from Yemen, on the Bab-el-M…","carloswilwil"
"negative","RT @Doranimated: China has completed a pier for an aircraft carrier at its naval base in the Djibouti, 20 miles from Yemen, on the Bab-el-M…","Michael__Baskin"
"neutral","RT @Alien_India: But world politics &amp; media r watching everything closely. Some specific comments on Modia is bound to shake indian media s…","Saif7in"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","KhabraSatinder"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","Simran_R"
"positive","@narendramodi @TamimBinHamad You are responsible for the unfolding carnage in India, but don't have the moral compa… https://t.co/qJJ5M67rgt","piranahandle"
"neutral","@FemaleHumanBei2 @ccrebel1 @MirJalal18 @TheHarrisSultan @TheGhalibKamal Waise i havent seen both those debates,so c… https://t.co/eqG77s3QNX","nilam70466676"
"positive","RT @rahulrah91: #OneMovie is very right topic to discuss about Indian politics...","kunjhan369"
"neutral","But world politics &amp; media r watching everything closely. Some specific comments on Modia is bound to shake indian… https://t.co/ejz8WUgtNu","Alien_India"
"neutral","@ReallySwara @Rashmidvs What She is ??????????????? There is no Hindu, Muslims every Indian will curse her.\n\nStop p… https://t.co/vNhNV4q5Fw","realindianhyd"
"neutral","@sardesairajdeep @sardesairajdeep the question is who to vote for if not them?? Congress is like a ostracized littl… https://t.co/uLUsrL6I1C","ebrahimsla"
"positive","RT @saipaw_real: @RajivMessage @PMOIndia India must guard against this; change laws if needed. We don't want to be next Iran. US will never…","udit56shah"
"neutral","RT @ggreenwald: If I came from a family that could send me to a Swiss boarding school and raise me in a Connecticut mansion, I wouldn't use…","satirist_indian"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","jerryv316"
"negative","@IanSamuels3 @paara95 @DennisCricket_ It's all about politics bro, Indian and Pakistani ppl respect each other and… https://t.co/auZWuSFYo4","Zakar42566296"
"neutral","RT @easyjanjansen: Vaccine Diplomacy: Modi-Doval Make US Relent | Joe Biden, Kamala Harris | Bharat Biotech: As US puts, and lifts, embargo…","enpras01"
"negative","RT @9DashLine: China adds carrier pier to Djibouti base, extending Indian Ocean reach https://t.co/30MfZNQCEK Beijing looking for other bas…","lukebutler1"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","iKaranDeshmukh"
"positive","@theJagmeetSingh No Indian Politics here\n\nWe have full faith in @JustinTrudeau and his decisions.","DP_8888"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","Joe_Singh_"
"positive","RT @UKHomeSecretary: Indians dominating foreign politics\n@VP-elect @KamalaHarris reveals her identity as Hindu and Baptist, Indian and Jama…","UKHomeSecretary"
"negative","@GretaThunberg I mean stop putting your nose in Indian politics.","Chinmay27285729"
"neutral","RT @myindia1975: @Prasannasimha @Tejasvi_Surya Opposition and Indian media are the biggest culprits who misled public..\nWhile Gandhis (moth…","AgnusAve"
"neutral","RT @vnbrkl: a woman of indian descent is the vice president of a country that is refusing to lift a ban on covid vaccine essential material…","snoop_pupp1"
"negative","“WW3 WARNING: China expands naval threat to Indian Ocean with new aircraft carrier base” https://t.co/ConJFlvQIt","DWatchdawgs"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","ChloefromC"
"positive","@teeaarbee For that matter any kind of label is problematic. Especially the one’s they use in Indian politics.","Al_swearengen76"
"neutral","@KamalPanajaban https://t.co/79Gi2RIj2u","toor_amarjit"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","gilmoregarya"
"neutral","RT @easyjanjansen: Vaccine Diplomacy: Modi-Doval Make US Relent | Joe Biden, Kamala Harris | Bharat Biotech: As US puts, and lifts, embargo…","EasyWorldNews"
"neutral","Vaccine Diplomacy: Modi-Doval Make US Relent | Joe Biden, Kamala Harris | Bharat Biotech: As US puts, and lifts, em… https://t.co/PIE9eLFxNv","easyjanjansen"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","indianproud12"
"neutral","RT @CTVNews: PM Trudeau says Canada will send $10 million to Indian Red Cross for funding of ambulances and PPE https://t.co/lLnal8iCFs","DrewHar87150338"
"positive","RT @GuptaPragnya: This man is going to be the MESSIAH of a NEW INDIA, words be marked. He will lead India towards Light, Hope, Healing &amp; De…","jazz_talk"
"positive","RT @GuptaPragnya: This man is going to be the MESSIAH of a NEW INDIA, words be marked. He will lead India towards Light, Hope, Healing &amp; De…","Ansaar_Al1"
"positive","RT @GuptaPragnya: This man is going to be the MESSIAH of a NEW INDIA, words be marked. He will lead India towards Light, Hope, Healing &amp; De…","kukk44"
"neutral","RT @alfonslopeztena: My theory about Indian politics has been that people vote on ideas, and not about the material things people assume th…","PatriciaSomer11"
"positive","Happy Birthday 🎂🎉🎁 @free_thinker sir\nYOU changed Indian Social Media and saved India from hell lot of things..\nCan'… https://t.co/xhk6bKrxlu","Abc40646031"
"positive","@Praveen9511 @australian Corruption is bedrock of Indian politics... \nPple get divided so easily on caste, religion… https://t.co/YH6HgVgtIR","Hum_bharateeya"
